URL checker started: base=https://api.crm.luminartechnolab.com, concurrency=10, timeout=5000ms
[171] https://api.crm.luminartechnolab.com/Sources -> 404 NOTFOUND/CLIENT (220ms)
[173] https://api.crm.luminartechnolab.com/07 -> 404 NOTFOUND/CLIENT (221ms)
[174] https://api.crm.luminartechnolab.com/05 -> 404 NOTFOUND/CLIENT (223ms)
[176] https://api.crm.luminartechnolab.com/02 -> 404 NOTFOUND/CLIENT (220ms)
[179] https://api.crm.luminartechnolab.com/msadc -> 404 NOTFOUND/CLIENT (220ms)
[180] https://api.crm.luminartechnolab.com/mail -> 404 NOTFOUND/CLIENT (221ms)
[177] https://api.crm.luminartechnolab.com/xmlrpc -> 404 NOTFOUND/CLIENT (222ms)
[175] https://api.crm.luminartechnolab.com/dialog -> 404 NOTFOUND/CLIENT (227ms)
[178] https://api.crm.luminartechnolab.com/smiley -> 404 NOTFOUND/CLIENT (223ms)
[182] https://api.crm.luminartechnolab.com/black -> 404 NOTFOUND/CLIENT (219ms)
[181] https://api.crm.luminartechnolab.com/connectors -> 404 NOTFOUND/CLIENT (220ms)
[183] https://api.crm.luminartechnolab.com/backups -> 404 NOTFOUND/CLIENT (221ms)
[184] https://api.crm.luminartechnolab.com/GalleryStorage -> 404 NOTFOUND/CLIENT (244ms)
[186] https://api.crm.luminartechnolab.com/04 -> 404 NOTFOUND/CLIENT (220ms)
[189] https://api.crm.luminartechnolab.com/archive -> 404 NOTFOUND/CLIENT (220ms)
[190] https://api.crm.luminartechnolab.com/_private -> 404 NOTFOUND/CLIENT (221ms)
[187] https://api.crm.luminartechnolab.com/javascript -> 404 NOTFOUND/CLIENT (223ms)
[188] https://api.crm.luminartechnolab.com/install -> 404 NOTFOUND/CLIENT (223ms)
[185] https://api.crm.luminartechnolab.com/Auth -> 404 NOTFOUND/CLIENT (225ms)
[192] https://api.crm.luminartechnolab.com/table -> 404 NOTFOUND/CLIENT (220ms)
[191] https://api.crm.luminartechnolab.com/uploads -> 404 NOTFOUND/CLIENT (221ms)
[193] https://api.crm.luminartechnolab.com/jqueryui -> 404 NOTFOUND/CLIENT (251ms)
[194] https://api.crm.luminartechnolab.com/filemanager -> 404 NOTFOUND/CLIENT (220ms)
[196] https://api.crm.luminartechnolab.com/dk -> 404 NOTFOUND/CLIENT (220ms)
[199] https://api.crm.luminartechnolab.com/sv_SE -> 404 NOTFOUND/CLIENT (220ms)
[197] https://api.crm.luminartechnolab.com/cgi -> 404 NOTFOUND/CLIENT (222ms)
[198] https://api.crm.luminartechnolab.com/users -> 404 NOTFOUND/CLIENT (222ms)
[200] https://api.crm.luminartechnolab.com/index -> 404 NOTFOUND/CLIENT (222ms)
[195] https://api.crm.luminartechnolab.com/email -> 404 NOTFOUND/CLIENT (225ms)
[202] https://api.crm.luminartechnolab.com/examples -> 404 NOTFOUND/CLIENT (219ms)
[201] https://api.crm.luminartechnolab.com/functions -> 404 NOTFOUND/CLIENT (220ms)
[203] https://api.crm.luminartechnolab.com/error -> 404 NOTFOUND/CLIENT (220ms)
[204] https://api.crm.luminartechnolab.com/browser -> 404 NOTFOUND/CLIENT (220ms)
[206] https://api.crm.luminartechnolab.com/13 -> 404 NOTFOUND/CLIENT (220ms)
[210] https://api.crm.luminartechnolab.com/com_content -> 404 NOTFOUND/CLIENT (219ms)
[209] https://api.crm.luminartechnolab.com/image -> 404 NOTFOUND/CLIENT (220ms)
[207] https://api.crm.luminartechnolab.com/pt_BR -> 404 NOTFOUND/CLIENT (221ms)
[208] https://api.crm.luminartechnolab.com/misc -> 404 NOTFOUND/CLIENT (230ms)
[205] https://api.crm.luminartechnolab.com/TODO -> 404 NOTFOUND/CLIENT (232ms)
[212] https://api.crm.luminartechnolab.com/calendar -> 404 NOTFOUND/CLIENT (219ms)
[211] https://api.crm.luminartechnolab.com/categories -> 404 NOTFOUND/CLIENT (221ms)
[213] https://api.crm.luminartechnolab.com/buttons -> 404 NOTFOUND/CLIENT (220ms)
[214] https://api.crm.luminartechnolab.com/404 -> 404 NOTFOUND/CLIENT (220ms)
[216] https://api.crm.luminartechnolab.com/placeholder -> 404 NOTFOUND/CLIENT (220ms)
[220] https://api.crm.luminartechnolab.com/bin -> 404 NOTFOUND/CLIENT (220ms)
[219] https://api.crm.luminartechnolab.com/moodle2 -> 404 NOTFOUND/CLIENT (220ms)
[217] https://api.crm.luminartechnolab.com/phpmailer -> 404 NOTFOUND/CLIENT (222ms)
[218] https://api.crm.luminartechnolab.com/old -> 404 NOTFOUND/CLIENT (222ms)
[215] https://api.crm.luminartechnolab.com/tools -> 404 NOTFOUND/CLIENT (224ms)
[222] https://api.crm.luminartechnolab.com/Adapter -> 404 NOTFOUND/CLIENT (219ms)
[221] https://api.crm.luminartechnolab.com/auth -> 404 NOTFOUND/CLIENT (220ms)
[223] https://api.crm.luminartechnolab.com/tinymce -> 404 NOTFOUND/CLIENT (220ms)
[224] https://api.crm.luminartechnolab.com/msn -> 404 NOTFOUND/CLIENT (221ms)
[226] https://api.crm.luminartechnolab.com/inc -> 404 NOTFOUND/CLIENT (220ms)
[229] https://api.crm.luminartechnolab.com/apps -> 404 NOTFOUND/CLIENT (220ms)
[227] https://api.crm.luminartechnolab.com/feed -> 404 NOTFOUND/CLIENT (221ms)
[228] https://api.crm.luminartechnolab.com/da_DK -> 404 NOTFOUND/CLIENT (221ms)
[230] https://api.crm.luminartechnolab.com/advanced -> 404 NOTFOUND/CLIENT (221ms)
[225] https://api.crm.luminartechnolab.com/links -> 404 NOTFOUND/CLIENT (225ms)
[232] https://api.crm.luminartechnolab.com/2010 -> 404 NOTFOUND/CLIENT (219ms)
[231] https://api.crm.luminartechnolab.com/CREDITS -> 404 NOTFOUND/CLIENT (220ms)
[233] https://api.crm.luminartechnolab.com/08 -> 404 NOTFOUND/CLIENT (220ms)
[234] https://api.crm.luminartechnolab.com/moddata -> 404 NOTFOUND/CLIENT (220ms)
[236] https://api.crm.luminartechnolab.com/local -> 404 NOTFOUND/CLIENT (220ms)
[239] https://api.crm.luminartechnolab.com/fi_FI -> 404 NOTFOUND/CLIENT (220ms)
[240] https://api.crm.luminartechnolab.com/drivers -> 404 NOTFOUND/CLIENT (220ms)
[237] https://api.crm.luminartechnolab.com/ja_JP -> 404 NOTFOUND/CLIENT (221ms)
[238] https://api.crm.luminartechnolab.com/forum -> 404 NOTFOUND/CLIENT (222ms)
[235] https://api.crm.luminartechnolab.com/mod_login -> 404 NOTFOUND/CLIENT (225ms)
[242] https://api.crm.luminartechnolab.com/behaviors -> 404 NOTFOUND/CLIENT (219ms)
[241] https://api.crm.luminartechnolab.com/cs_CZ -> 404 NOTFOUND/CLIENT (220ms)
[243] https://api.crm.luminartechnolab.com/secret -> 404 NOTFOUND/CLIENT (220ms)
[244] https://api.crm.luminartechnolab.com/pt_PT -> 404 NOTFOUND/CLIENT (220ms)
[246] https://api.crm.luminartechnolab.com/os -> 404 NOTFOUND/CLIENT (220ms)
[250] https://api.crm.luminartechnolab.com/flash -> 404 NOTFOUND/CLIENT (220ms)
[249] https://api.crm.luminartechnolab.com/gallery -> 404 NOTFOUND/CLIENT (220ms)
[247] https://api.crm.luminartechnolab.com/office2003 -> 404 NOTFOUND/CLIENT (222ms)
[248] https://api.crm.luminartechnolab.com/geshi -> 404 NOTFOUND/CLIENT (222ms)
[245] https://api.crm.luminartechnolab.com/pl_PL -> 404 NOTFOUND/CLIENT (224ms)
[252] https://api.crm.luminartechnolab.com/caspsamp -> 404 NOTFOUND/CLIENT (220ms)
[251] https://api.crm.luminartechnolab.com/conf -> 404 NOTFOUND/CLIENT (220ms)
[253] https://api.crm.luminartechnolab.com/application -> 404 NOTFOUND/CLIENT (220ms)
[254] https://api.crm.luminartechnolab.com/access -> 404 NOTFOUND/CLIENT (220ms)
[256] https://api.crm.luminartechnolab.com/tablecommands -> 404 NOTFOUND/CLIENT (220ms)
[257] https://api.crm.luminartechnolab.com/pages -> 404 NOTFOUND/CLIENT (220ms)
[259] https://api.crm.luminartechnolab.com/log -> 404 NOTFOUND/CLIENT (220ms)
[258] https://api.crm.luminartechnolab.com/msft -> 404 NOTFOUND/CLIENT (221ms)
[260] https://api.crm.luminartechnolab.com/fck_template -> 404 NOTFOUND/CLIENT (221ms)
[255] https://api.crm.luminartechnolab.com/RETAIL -> 404 NOTFOUND/CLIENT (225ms)
[262] https://api.crm.luminartechnolab.com/fck_link -> 404 NOTFOUND/CLIENT (219ms)
[261] https://api.crm.luminartechnolab.com/fck_select -> 404 NOTFOUND/CLIENT (220ms)
[263] https://api.crm.luminartechnolab.com/fck_image -> 404 NOTFOUND/CLIENT (221ms)
[264] https://api.crm.luminartechnolab.com/fck_docprops -> 404 NOTFOUND/CLIENT (220ms)
[266] https://api.crm.luminartechnolab.com/documents -> 404 NOTFOUND/CLIENT (220ms)
[269] https://api.crm.luminartechnolab.com/CHANGES -> 404 NOTFOUND/CLIENT (220ms)
[267] https://api.crm.luminartechnolab.com/custom -> 404 NOTFOUND/CLIENT (220ms)
[268] https://api.crm.luminartechnolab.com/bbcode -> 404 NOTFOUND/CLIENT (222ms)
[270] https://api.crm.luminartechnolab.com/2009 -> 404 NOTFOUND/CLIENT (221ms)
[265] https://api.crm.luminartechnolab.com/fck_about -> 404 NOTFOUND/CLIENT (225ms)
[272] https://api.crm.luminartechnolab.com/tests -> 404 NOTFOUND/CLIENT (219ms)
[271] https://api.crm.luminartechnolab.com/2003 -> 404 NOTFOUND/CLIENT (220ms)
[273] https://api.crm.luminartechnolab.com/spellerpages -> 404 NOTFOUND/CLIENT (221ms)
[274] https://api.crm.luminartechnolab.com/pdf -> 404 NOTFOUND/CLIENT (220ms)
